"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"FABRICIO MAXIMO DE SOUSA";"FABRICIO MAXIMO";"Vereador";20200;"PSC";"PSC";"Deferido";"Concorrendo"
"MARIA DE FÁTIMA FERREIRA DE MENEZES MELO";"FÁTIMA MENEZES";"Vereador";11440;"PP";"PP";"Deferido";"Concorrendo"
"MARIA DE FÁTIMA DA SILVA";"FATINHA";"Vereador";25015;"DEM";"DEM";"Deferido";"Concorrendo"
"ADRIANO JOSÉ DA SILVA";"FAUSTÃO DO MERCADINHO";"Vereador";15010;"MDB";"MDB";"Deferido";"Concorrendo"
"CARLOS ALBERTO FÁVARO";"FÁVARO";"Vereador";17500;"PSL";"PSL";"Deferido";"Concorrendo"
"FELIPE MONTEIRO CHAVES DE ANDRADE";"FELIPE ANDRADE";"Vereador";36133;"PTC";"PTC";"Indeferido com recurso";"Concorrendo"
"FELIPE ALVES MOREIRA";"FELIPE MOREIRA";"Vereador";20202;"PSC";"PSC";"Deferido";"Concorrendo"
"FERNANDA JACIANA BLUYUS MATIAS DE AGUIAR";"FERNANDA BLUYUS";"Vereador";30333;"NOVO";"NOVO";"Deferido";"Concorrendo"
"LUIZ FERNANDO GOMES DE ANDRADE";"FERNANDO ANDRADE";"Vereador";45444;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JOSE FERREIRA FILHO";"FERREIRA FCEOY";"Vereador";19007;"PODE";"PODE";"Indeferido com recurso";"Concorrendo"
"JOSE FERREIRA DE LIMA";"FERREIRINHA";"Vereador";55555;"PSD";"PSD";"Deferido";"Concorrendo"
"FLÁVIA REGINA MARCONDES";"FLÁVIA REGINA";"Vereador";25208;"DEM";"DEM";"Deferido";"Concorrendo"
"RUBENS FLAVIO DE MORAES";"FLAVIO MOTOBOY";"Vereador";70001;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"FLORIVALDO ROCHA";"FLORIVALDO ROCHA - NENE";"Vereador";55678;"PSD";"PSD";"Deferido";"Concorrendo"
"FRANCISCO RIBEIRO DA SILVA";"FRANCISCO DO GRUPO RESGATE";"Vereador";22156;"PL";"PL";"Deferido";"Concorrendo"
"FRANCIS ELAINE RANGEL";"FRANCIS RANGEL";"Vereador";20021;"PSC";"PSC";"Deferido";"Concorrendo"
"FRANKLIN MARTINS DE FREITAS";"FRANKLIN MARTINS ";"Vereador";51200;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"JOSE DE FREITAS SANTANA";"FREITAS";"Vereador";20888;"PSC";"PSC";"Deferido";"Concorrendo"
"GABRIELA DA SILVA LEITE";"GABI LEITE";"Vereador";10190;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"GABRYELA CHIACCHIO SILVA NASCIMENTO";"GABRYELA CHIACCHIO";"Vereador";70999;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"MARCIO ALEXANDRE COUTINHO";"GARRINCHA COUTINHO";"Vereador";28033;"PRTB";"PRTB";"Deferido";"Concorrendo"
"ROGERIO HENRIQUE DE SOUSA";"GÉ + COMUNIDADE";"Vereador";14789;"PTB";"PTB";"Deferido";"Concorrendo"
"GERALDO DANIEL DOS SANTOS";"GERALDO DA GN";"Vereador";25600;"DEM";"DEM";"Deferido";"Concorrendo"
"GERALDO BATISTA DA SILVA";"GERALDO PORTEIRO";"Vereador";28280;"PRTB";"PRTB";"Deferido";"Concorrendo"
"GISLAINE MARINA CAPISTRANO DE SOUZA";"GIH MARINA";"Vereador";23500;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"GILBERTO DE CAMPOS ENNES";"GILBERTO ENNES";"Vereador";25025;"DEM";"DEM";"Deferido";"Concorrendo"
"GIL GUILHERME FEITOSA DOS SANTOS";"GIL DA MAITA";"Vereador";77900;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
